Symbol,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
cold,22.07128,23.98874,17.36718,23.52595,17.96543,14.73103,30.11416,29.79924,32.32361,31.60093,38.21295
CG13689,4.679248,4.18858,6.118541,3.70912,2.804069,4.69446,2.918087,3.030895,3.756177,5.359524,4.21279
CG13947,279.37675,240.84801,169.39233,209.54592,162.12449,195.16005,65.83676,61.33662,48.31978,107.60586,31.50752
Pex12,10.325305,9.762911,8.944103,9.600069,7.81715,7.604515,6.593995,7.840857,6.054278,8.716711,6.803105
CG3662,426.4189,548.0158,566.7284,571.4276,470.9094,543.6973,536.255,498.8535,394.5702,383.6004,457.4558
CG4629,10.950925,11.56171,13.63079,12.23951,10.432807,16.055825,11.079201,10.134829,9.379813,8.276364,9.140356
CG4552,60.89066,81.52019,79.28391,88.14194,78.38151,92.70461,81.40038,81.93367,77.88822,66.71999,70.56885
CG4577,48.38402,53.91044,53.88714,52.18528,60.74399,78.32227,78.80415,49.47875,33.93722,30.49336,38.44603
MFS3,8.225156,9.410095,6.935711,7.294128,6.792579,6.739151,7.915702,8.677122,7.864577,8.518704,10.556819
Charon,14.2529,20.99619,21.78865,22.02933,19.01056,25.4535,20.17329,24.21927,20.89291,20.20841,26.02631
Rim2,181.9583,163.93655,142.34035,114.4801,119.86353,145.1278,109.08525,102.32008,74.44846,76.856,80.87441
CG15358,88.31274,73.16338,76.07222,65.02329,58.4355,67.82618,33.83028,53.29739,32.46851,35.68449,35.39803
CG4238,44.76304,67.55788,68.57586,83.0635,49.15104,34.10079,41.84087,44.68293,36.58359,32.77911,27.65868
CG16995,1.292504,1.026476,1.545834,1.482721,1.122499,1.110215,3.826816,2.021903,1.964485,4.09343,3.652257
eys,14.95291,11.79875,13.92267,10.98615,15.90212,15.75455,14.90688,12.05861,11.93714,14.94818,14.47185
CG3597,229.32898,108.7387,93.08922,94.41692,79.78959,68.00123,51.9231,59.23824,52.7486,101.40438,54.86883
VGlut,68.38307,64.24399,56.92814,46.93607,69.02636,70.52135,65.07534,48.01886,36.38961,35.9014,37.85269
Cyp309a1,53.22933,27.36964,22.94806,29.22252,28.54808,39.1439,25.01954,41.97346,42.16061,92.2255,65.63195
ND-B17.2,267.45775,206.69345,148.52705,125.25675,112.02705,137.0835,82.72348,101.85904,85.56144,93.03639,84.74041
CG15398,0.00E+00,4.34E-02,2.48E-01,-1.11E-16,1.08E-01,1.04E-01,2.83E-01,1.49E-01,5.44E-01,6.00E-01,8.61E-01
Cwc25,65.9825,77.52327,54.92048,80.59428,70.91012,52.5566,69.47723,79.4276,56.61518,84.83384,91.5273
CG3077,9.54934,12.86673,11.98335,10.14009,13.3348,12.05108,14.92901,17.35168,12.76117,13.14301,15.08471
daw,129.35155,128.3102,139.0126,128.14795,116.7578,106.767,68.92172,64.59615,55.89337,55.12667,47.2116
