FBgn,Dependent,Source,DF,SS,MS,FValue,ProbF
FBgn0000346,Expression,Corrected Total,131,1087794,_,_,_
FBgn0000351,Expression,Model,65,134661,2072,18.24,3.25677E-25
FBgn0000351,Expression,Error,66,7495,114,_,_
FBgn0000351,Expression,Corrected Total,131,142156,_,_,_
FBgn0000352,Expression,Model,65,180296,2774,14.35,3.63540E-22
FBgn0000352,Expression,Error,66,12757,193,_,_
FBgn0000352,Expression,Corrected Total,131,193053,_,_,_
FBgn0000355,Expression,Model,65,650181861,10002798,1.79,9.81235E-03
FBgn0000355,Expression,Error,66,368783296,5587626,_,_
FBgn0000355,Expression,Corrected Total,131,1018965158,_,_,_
FBgn0000356,Expression,Model,65,13133001,202046,4.62,1.67682E-09
FBgn0000356,Expression,Error,66,2887080,43744,_,_
FBgn0000356,Expression,Corrected Total,131,16020081,_,_,_
FBgn0000357,Expression,Model,65,43286548,665947,2.75,3.10187E-05
FBgn0000357,Expression,Error,66,15967849,241937,_,_
FBgn0000357,Expression,Corrected Total,131,59254398,_,_,_
FBgn0000358,Expression,Model,65,146331405,2251252,1.55,3.94271E-02
FBgn0000358,Expression,Error,66,95953478,1453841,_,_
FBgn0000358,Expression,Corrected Total,131,242284884,_,_,_
FBgn0000359,Expression,Model,65,990066062,15231786,1.44,7.03399E-02
FBgn0000359,Expression,Error,66,697063003,10561561,_,_
FBgn0000359,Expression,Corrected Total,131,1687129065,_,_,_
FBgn0000360,Expression,Model,65,302170818,4648782,1.86,6.45428E-03
FBgn0000360,Expression,Error,66,164884858,2498255,_,_
FBgn0000360,Expression,Corrected Total,131,467055676,_,_,_
FBgn0000370,Expression,Model,65,1156185,17787,2.77,2.80956E-05
FBgn0000370,Expression,Error,66,423893,6423,_,_
FBgn0000370,Expression,Corrected Total,131,1580078,_,_,_
FBgn0000376,Expression,Model,65,24046,370,8.19,1.85006E-15
FBgn0000376,Expression,Error,66,2982,45,_,_
FBgn0000376,Expression,Corrected Total,131,27028,_,_,_
FBgn0000377,Expression,Model,65,40594,625,7.32,3.28111E-14
FBgn0000377,Expression,Error,66,5632,85,_,_
FBgn0000377,Expression,Corrected Total,131,46226,_,_,_
FBgn0000382,Expression,Model,65,1244298,19143,8.39,9.71084E-16
FBgn0000382,Expression,Error,66,150550,2281,_,_
FBgn0000382,Expression,Corrected Total,131,1394847,_,_,_
FBgn0000384,Expression,Model,65,212191,3264,8.00,3.33823E-15
