Genes,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
FBgn0260653,14.643859,8.153964,7.667846,6.157377,5.749621,7.507972,6.949377,9.183989,9.856271,9.620331,10.096857
FBgn0260750,28.29119,24.66776,22.83273,23.68545,21.36947,19.22845,21.87423,20.55123,20.79174,19.51692,20.77258
FBgn0260866,88.54001,86.16447,98.36529,89.52654,96.57097,92.81464,83.20673,76.28884,67.90259,65.52501,68.90249
FBgn0260933,6.570523,6.671353,7.661073,7.522917,8.39766,7.657325,9.179784,9.706977,9.40964,10.343227,13.005276
FBgn0260995,22.41388,20.20426,21.42717,18.11462,17.13632,17.12602,16.35363,14.11891,14.18332,12.18894,12.6627
FBgn0260997,0.731895,0.720463,0.863387,0.734603,0.942105,1.126733,1.19341,1.070664,1.117182,1.19456,1.36174
FBgn0261053,23.21748,21.88571,21.13168,20.31101,22.4671,21.15348,19.7455,18.81171,17.05764,17.47535,17.82836
FBgn0261111,11.262562,9.177671,9.455623,9.255293,8.186674,8.389324,7.73797,8.296824,7.629779,7.966914,7.92209
FBgn0261113,295.5019,316.8856,400.718,349.1449,417.6417,511.2293,440.3196,418.4297,368.8171,403.6799,469.9824
FBgn0261261,184.84584,159.59887,154.24387,132.16965,149.15801,142.4807,111.56988,105.63849,94.66116,89.47853,97.53625
FBgn0261276,129.2402,130.1749,129.4772,128.9198,129.3916,132.6316,125.2486,116.1926,110.6342,107.3303,115.642
FBgn0261289,0.629002,0.732046,0.873362,0.754113,0.640197,0.795146,0.563331,0.47504,0.452354,0.429842,0.427928
FBgn0261290,2.511896,2.339266,2.11824,1.941499,1.798468,1.653695,1.19294,1.102948,1.178099,1.093101,1.272578
FBgn0261292,1.216261,0.687233,1.212554,0.802641,0.908721,0.760794,0.469122,0.808249,0.589925,0.617937,0.701422
FBgn0261341,11.975056,8.038453,7.511748,6.543424,5.825505,6.235882,6.218062,7.814495,8.335472,8.091205,8.631478
FBgn0261386,1.011931,0.962398,0.878595,0.845391,1.158063,0.861605,0.827096,0.53354,0.598229,0.437914,0.644961
FBgn0261429,1.392317,0.873448,1.469246,2.036055,2.897256,4.226861,7.521187,8.106971,8.638475,13.187459,15.698146
FBgn0261439,552.5962,519.3308,393.2794,374.1439,340.3165,319.508,276.0553,248.4668,232.0618,211.6127,223.7887
FBgn0261461,56.49223,61.15208,70.45131,65.3617,72.09327,81.39507,72.31483,69.91831,71.57896,74.7142,85.68974
FBgn0261545,42.98932,44.08078,46.11387,45.80212,47.28764,45.12078,42.23325,39.9075,36.94982,34.97383,38.7801
FBgn0261554,109.87059,110.87071,108.44016,115.33181,111.93594,111.74577,101.83628,101.2864,93.54013,91.3594,92.97241
FBgn0261563,47.51611,37.6901,36.56106,37.00982,39.39378,40.63381,42.40886,43.85407,53.30324,57.39869,64.73278
FBgn0261565,386.5374,356.0314,364.7352,291.9393,356.8766,370.6617,285.5225,259.0948,204.3605,194.1167,221.63
FBgn0261575,197.6681,112.4663,135.0719,214.733,206.0625,353.4917,282.4427,463.5888,499.7064,593.8301,590.2972
FBgn0261611,22.948164,15.605685,13.823959,10.769003,12.622777,12.429689,10.862287,9.5405,8.307169,7.836568,9.596793
FBgn0261631,12.010178,11.101575,8.946801,8.862559,6.129772,5.663672,5.492994,5.066315,6.194502,6.157678,5.6244
FBgn0261632,0.601055,0.42463,0.509079,0.764719,0.614711,0.742042,1.393268,1.554134,1.953195,1.650365,1.531601
FBgn0261674,40.34872,41.69646,44.78275,40.49319,40.93263,40.90365,37.38935,35.50103,32.12956,30.78571,35.14531
FBgn0261675,32.26759,34.30472,43.76375,44.18373,42.68579,41.88391,41.25483,50.99044,56.10233,70.78692,95.31542
FBgn0261681,0.475335,0.58955,0.831093,0.863463,1.743618,1.363541,1.58232,1.795819,1.894687,2.889738,2.531474
FBgn0261682,0.240367,0.301982,0.636349,0.428976,0.98155,0.747705,0.843739,0.741899,1.053974,1.353894,1.508298
FBgn0261714,41.06032,31.20121,34.09434,32.81562,28.88622,27.01233,20.83249,15.951,19.80536,16.61066,21.1798
FBgn0261722,129.99354,131.02706,137.77703,114.34795,125.00292,124.98283,109.25748,93.2649,90.75935,88.4778,101.70327
FBgn0261794,152.77195,144.40098,130.14922,111.59414,119.43923,113.35776,92.84681,78.5569,77.31077,78.5983,90.80063
FBgn0261801,4.996475,4.963267,5.184907,4.108185,5.530186,4.935184,4.467201,3.400491,3.494945,3.347372,3.42509
FBgn0261808,83.80069,64.0438,58.3909,57.83764,53.72184,55.00543,55.90637,55.45582,56.82634,61.89712,59.28388
FBgn0261871,8.145106,7.138469,7.473302,6.526992,7.423654,6.587099,5.088549,4.508568,5.083426,4.264557,5.420608
FBgn0261928,60.11657,50.55125,60.9064,44.48315,49.02605,42.3305,35.05841,34.89255,36.65374,29.00335,38.9561
FBgn0261938,59.5363,58.03926,57.98052,59.26725,55.94382,53.56531,50.44232,47.55994,47.28824,45.01902,49.41412
FBgn0261953,3.417779,2.804605,3.968148,3.178312,3.772822,3.404881,2.075956,2.116615,1.995473,2.066094,2.307149
FBgn0261955,383.4105,246.4227,204.92,180.0948,165.9146,163.6603,141.3984,128.5018,123.8776,106.3904,104.8948
FBgn0261963,4.4545,3.753568,4.862943,3.542607,4.314748,4.325029,3.638501,3.020315,3.396927,3.385925,3.614831
FBgn0261975,13.90843,15.89981,16.15559,16.47425,14.02935,15.64942,13.18933,12.74249,11.7879,11.25903,12.78893
FBgn0261983,34.38732,36.09606,40.19398,38.89647,41.8651,44.7014,41.01011,38.65005,35.40204,37.74598,44.26446
FBgn0261989,32.3467,30.95956,51.41992,67.38617,139.95377,165.27842,281.42348,297.93977,210.42663,284.3183,328.31648
FBgn0261990,58.59164,50.72158,39.60061,32.0772,30.49439,37.87652,35.65685,34.90366,34.63243,30.81347,34.74087
FBgn0262003,4.368772,3.938539,3.169565,4.695208,5.024367,6.137644,6.626319,7.613061,6.721463,5.092531,4.735281
FBgn0262007,29.05309,18.5404,45.13088,65.96604,68.12256,72.57304,93.27334,63.26545,83.62179,106.36055,134.29715
